,Function Name,Parameters_old,Source,Line Number_old,Parameters_live,Source File,Line Number_live
0,OnAccept,"selectedNode, data, entryName, boostType, applicantID, info, self",Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,18,"self, boostType, info, applicantID, data, entryName, selectedNode",Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,18
2,AccountSaveFrameMixin:OnLoad,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,34,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,34
3,AccountSaveFrameMixin:OnShow,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,45,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,45
4,AccountSaveFrameMixin:UpdateAccountState,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,49,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,49
5,AccountSaveFrameMixin:OnLockEditBoxTextChanged,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,91,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,91
6,AccountSaveFrameMixin:OnLockEditBoxEnterPressed,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,95,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,95
7,AccountSaveFrameMixin:OnLockEditBoxEscapePressed,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,101,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,101
8,AccountSaveFrameMixin:OnSaveButtonClicked,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,105,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,105
9,AccountSaveFrameMixin:DoesLockStringMatch,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,111,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,111
10,AccountSaveFrameMixin:SaveAccountData,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,115,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,115
13,AccountSaveFrameMixin:OnSizeChanged,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,168,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,168
15,AccountSaveFrameMixin:UpdateSizing,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,183,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,183
