,Function Name,Parameters,Source File,Line Number
170,AchievementFrame_OnAchievementLinkedInChat,achievementID,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,180
326,ExtraActionBar_OnShow,self,Blizzard_ActionBar\Cata\ExtraActionBar.lua,16
327,ExtraActionBar_OnHide,self,Blizzard_ActionBar\Cata\ExtraActionBar.lua,24
328,ExtraActionBar_OnEvent,"self, event, ...",Blizzard_ActionBar\Cata\ExtraActionBar.lua,28
440,ActionBarActionButtonMixin:SetOverlayGlowShown,show,Blizzard_ActionBar\Mainline\ActionButton.lua,885
441,ActionBarActionButtonMixin:EvaluateTutorials,"spellType, id",Blizzard_ActionBar\Mainline\ActionButton.lua,896
481,BaseActionButtonMixin:BaseActionButtonMixin_OnEnter,,Blizzard_ActionBar\Mainline\ActionButton.lua,1453
482,BaseActionButtonMixin:BaseActionButtonMixin_OnLeave,,Blizzard_ActionBar\Mainline\ActionButton.lua,1457
483,BaseActionButtonMixin:BaseActionButtonMixin_OnDragStart,,Blizzard_ActionBar\Mainline\ActionButton.lua,1461
487,ActionBarButtonMixin:ActionBarButtonMixin_OnLoad,,Blizzard_ActionBar\Mainline\ActionButton.lua,1515
488,ActionBarButtonMixin:ActionBarButtonMixin_OnEnter,,Blizzard_ActionBar\Mainline\ActionButton.lua,1520
489,ActionBarButtonMixin:ActionBarButtonMixin_OnLeave,,Blizzard_ActionBar\Mainline\ActionButton.lua,1525
490,ActionBarButtonMixin:ActionBarButtonMixin_OnDragStart,,Blizzard_ActionBar\Mainline\ActionButton.lua,1530
508,ActionBarActionButtonDerivedMixin:ActionBarActionButtonDerivedMixin_OnLoad,,Blizzard_ActionBar\Mainline\ActionButtonOverrides.lua,566
509,ActionBarActionButtonDerivedMixin:ActionBarActionButtonDerivedMixin_OnAttributeChanged,,Blizzard_ActionBar\Mainline\ActionButtonOverrides.lua,570
510,ActionBarActionButtonDerivedMixin:ActionBarActionButtonDerivedMixin_OnPostClick,,Blizzard_ActionBar\Mainline\ActionButtonOverrides.lua,583
511,ActionBarActionButtonDerivedMixin:ActionBarActionButtonDerivedMixin_OnEnter,,Blizzard_ActionBar\Mainline\ActionButtonOverrides.lua,599
512,ActionBarActionButtonDerivedMixin:ActionBarActionButtonDerivedMixin_OnLeave,,Blizzard_ActionBar\Mainline\ActionButtonOverrides.lua,604
513,ActionBarActionButtonDerivedMixin:ActionBarActionButtonDerivedMixin_OnShow,,Blizzard_ActionBar\Mainline\ActionButtonOverrides.lua,609
514,ActionBarActionButtonDerivedMixin:ActionBarActionButtonDerivedMixin_OnHide,,Blizzard_ActionBar\Mainline\ActionButtonOverrides.lua,614
528,ActionBarActionButtonDerivedMixin:ActionBarActionButtonDerivedMixin_OnEvent,"event, ...",Blizzard_ActionBar\Mainline\ActionButtonOverrides.lua,574
531,ActionBarActionButtonDerivedMixin:ActionBarActionButtonDerivedMixin_OnClick,"button, down",Blizzard_ActionBar\Mainline\ActionButtonOverrides.lua,578
532,ActionBarActionButtonDerivedMixin:ActionBarActionButtonDerivedMixin_OnDragStart,,Blizzard_ActionBar\Mainline\ActionButtonOverrides.lua,587
533,ActionBarActionButtonDerivedMixin:ActionBarActionButtonDerivedMixin_OnReceiveDrag,,Blizzard_ActionBar\Mainline\ActionButtonOverrides.lua,591
534,ActionBarActionButtonDerivedMixin:ActionBarActionButtonDerivedMixin_OnDragStop,,Blizzard_ActionBar\Mainline\ActionButtonOverrides.lua,595
799,MicroMenuMixin:UpdateScale,,Blizzard_ActionBar\Mainline\MainMenuBarMicroButtons.lua,1853
800,MicroMenuMixin:SetNormalScale,scale,Blizzard_ActionBar\Mainline\MainMenuBarMicroButtons.lua,1863
801,MicroMenuMixin:SetOverrideScale,overrideScale,Blizzard_ActionBar\Mainline\MainMenuBarMicroButtons.lua,1868
802,MicroMenuMixin:ClearOverrideScale,,Blizzard_ActionBar\Mainline\MainMenuBarMicroButtons.lua,1873
930,SpellFlyoutPopupButtonMixin:OnLoad,,Blizzard_ActionBar\Mainline\SpellFlyout.lua,10
931,SpellFlyoutPopupButtonMixin:OnClick,,Blizzard_ActionBar\Mainline\SpellFlyout.lua,16
932,SpellFlyoutPopupButtonMixin:OnDragStart,,Blizzard_ActionBar\Mainline\SpellFlyout.lua,60
933,SpellFlyoutPopupButtonMixin:SetTooltip,,Blizzard_ActionBar\Mainline\SpellFlyout.lua,68
934,SpellFlyoutPopupButtonMixin:OnLeave,,Blizzard_ActionBar\Mainline\SpellFlyout.lua,93
935,SpellFlyoutPopupButtonMixin:UpdateCooldown,,Blizzard_ActionBar\Mainline\SpellFlyout.lua,97
936,SpellFlyoutPopupButtonMixin:UpdateState,,Blizzard_ActionBar\Mainline\SpellFlyout.lua,101
937,SpellFlyoutPopupButtonMixin:UpdateUsable,,Blizzard_ActionBar\Mainline\SpellFlyout.lua,109
938,SpellFlyoutPopupButtonMixin:UpdateGlyphState,reason,Blizzard_ActionBar\Mainline\SpellFlyout.lua,122
939,SpellFlyoutPopupButtonMixin:UpdateCount,,Blizzard_ActionBar\Mainline\SpellFlyout.lua,146
940,SpellFlyoutMixin:OnLoad,,Blizzard_ActionBar\Mainline\SpellFlyout.lua,162
941,SpellFlyoutMixin:OnEvent,"event, ...",Blizzard_ActionBar\Mainline\SpellFlyout.lua,166
942,SpellFlyoutMixin:Toggle,"flyoutButton, flyoutID, isActionBar, specID, showFullTooltip, reason",Blizzard_ActionBar\Mainline\SpellFlyout.lua,219
943,SpellFlyoutMixin:CloseIfWorldMapMaximized,,Blizzard_ActionBar\Mainline\SpellFlyout.lua,337
944,SpellFlyoutMixin:OnShow,,Blizzard_ActionBar\Mainline\SpellFlyout.lua,343
945,SpellFlyoutMixin:OnHide,,Blizzard_ActionBar\Mainline\SpellFlyout.lua,359
946,SpellFlyoutMixin:GetFlyoutButtonForSpell,spellID,Blizzard_ActionBar\Mainline\SpellFlyout.lua,379
1058,AddonDialogMixin:OnLoad,,Blizzard_AddOnList\Mainline\AddonList.lua,74
1059,AddonDialogMixin:OnShow,,Blizzard_AddOnList\Mainline\AddonList.lua,82
1060,AddonDialogMixin:OnKeyDown,,Blizzard_AddOnList\Mainline\AddonList.lua,86
1069,AddonList_InitCategory,"entry, treeNode",Blizzard_AddOnList\Mainline\AddonList.lua,219
1070,AddonListMixin:OnLoad,,Blizzard_AddOnList\Mainline\AddonList.lua,230
1073,AddonList_InitAddon,"entry, treeNode",Blizzard_AddOnList\Mainline\AddonList.lua,349
1075,SortNodes,"aNode, bNode",Blizzard_AddOnList\Mainline\AddonList.lua,513
1086,AddonListMixin:OnShow,,Blizzard_AddOnList\Mainline\AddonList.lua,627
1087,AddonListMixin:OnHide,,Blizzard_AddOnList\Mainline\AddonList.lua,664
1088,AddonListMixin:OnUpdate,,Blizzard_AddOnList\Mainline\AddonList.lua,678
1089,FormatProfilerPercent,pct,Blizzard_AddOnList\Mainline\AddonList.lua,682
1090,AddonListMixin:GetAddonMetricPercent,"addonName, formatString, metric",Blizzard_AddOnList\Mainline\AddonList.lua,694
1091,AddonListMixin:GetOverallMetric,"formatString, metric",Blizzard_AddOnList\Mainline\AddonList.lua,715
1092,AddonListMixin:UpdateOverallMetric,"fontString, formatString, metric",Blizzard_AddOnList\Mainline\AddonList.lua,730
1093,AddonListMixin:UpdatePerformance,,Blizzard_AddOnList\Mainline\AddonList.lua,750
1098,AddonTooltip_AddAddonMetric,"tooltip, addon, label, metric, warningOnly",Blizzard_AddOnList\Mainline\AddonList.lua,819
1101,AddonCategoryCollapseExpandMixin:SetTreeNode,treeNode,Blizzard_AddOnList\Mainline\AddonList.lua,872
1102,AddonCategoryCollapseExpandMixin:OnClick,button,Blizzard_AddOnList\Mainline\AddonList.lua,876
1103,AddonCategoryCollapseExpandMixin:ToggleState,,Blizzard_AddOnList\Mainline\AddonList.lua,882
1104,AddonCategoryCollapseExpandMixin:UpdateState,,Blizzard_AddOnList\Mainline\AddonList.lua,888
1105,AddonListNodeMixin:OnClick,button,Blizzard_AddOnList\Mainline\AddonList.lua,899
1106,AddonListEntry_SetEnabled,"index, character, enabled",Blizzard_AddOnList\Mainline\AddonList.lua,940
1107,AddonListNodeMixin:SetEnabledAll,enabled,Blizzard_AddOnList\Mainline\AddonList.lua,952
1108,AddonListEntryMixin:OnLoad,,Blizzard_AddOnList\Mainline\AddonList.lua,971
1109,AddonListEntryMixin:SetEnabledDependencies,enabled,Blizzard_AddOnList\Mainline\AddonList.lua,1017
1110,AddOnPerformanceMixin:Init,,Blizzard_AddOnPerformance\AddOnPerformance.lua,30
1111,AddOnPerformanceMixin:DisplayMessage,msg,Blizzard_AddOnPerformance\AddOnPerformance.lua,37
1112,AddOnPerformanceMixin:CheckAndDisplayPerformanceMessage,,Blizzard_AddOnPerformance\AddOnPerformance.lua,50
1113,AddOnPerformanceMixin:AddOnHasPerformanceWarning,addOnName,Blizzard_AddOnPerformance\AddOnPerformance.lua,79
1594,AuctionHouseUtil.ApplyClassicBackgroundTexture,frame,Blizzard_AuctionHouseUI\Classic\Blizzard_AuctionHouseUtil.lua,111
1595,AuctionHouseUtil.ApplyClassicBackgroundOffset,frame,Blizzard_AuctionHouseUI\Classic\Blizzard_AuctionHouseUtil.lua,121
1596,AuctionHouseUtil.ApplyClassicScrollbarOffset,frame,Blizzard_AuctionHouseUI\Classic\Blizzard_AuctionHouseUtil.lua,130
2661,BarberShopMixin:RotateSubject,rotationAmount,Blizzard_BarbershopUI\Blizzard_BarberShopUI.lua,182
2662,BarberShopMixin:ResetSubjectRotation,,Blizzard_BarbershopUI\Blizzard_BarberShopUI.lua,186
3135,_CalendarFrame_TryShowEventFrameBlocker,frame,Blizzard_Calendar\Mainline\Blizzard_Calendar.lua,955
3777,CharacterCreateMixin:ResetSubjectRotation,"mode, instantRotate",Blizzard_CharacterCreate\Blizzard_CharacterCreate.lua,762
3780,CharacterCreateMixin:RotateSubject,rotationAmount,Blizzard_CharacterCreate\Blizzard_CharacterCreate.lua,774
3781,CharacterCreateMixin:RotateSubjectToTarget,"targetRotation, duration",Blizzard_CharacterCreate\Blizzard_CharacterCreate.lua,778
3782,CharacterCreateMixin:OnUpdateRotateSubjectToTarget,elapsed,Blizzard_CharacterCreate\Blizzard_CharacterCreate.lua,795
3799,CharacterCreateClassButtonMixin:GetDebugName,,Blizzard_CharacterCreate\Blizzard_CharacterCreate.lua,1052
3805,CharacterCreateRaceButtonMixin:GetDebugName,,Blizzard_CharacterCreate\Blizzard_CharacterCreate.lua,1165
3905,CharCustomizeCategoryButtonMixin:IsSelected,"categoryData, selectedCategoryID",Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,38
3913,CharCustomizeAlteredFormButtonMixin:GetDebugName,,Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,122
3930,CharCustomizeMixin:ProcessCategory,"categoryData, interactingOption, optionsToSetup",Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,303
