,Function Name,Parameters,Source,Line Number
493,ActionBarActionButtonDerivedMixin:OnLoad,,Blizzard_ActionBar\Mainline\ActionButtonOverrides.lua,43
507,ActionBarActionButtonDerivedMixin:OnEvent,"event, ...",Blizzard_ActionBar\Mainline\ActionButtonOverrides.lua,315
510,ActionBarActionButtonDerivedMixin:OnClick,"button, down",Blizzard_ActionBar\Mainline\ActionButtonOverrides.lua,435
511,ActionBarActionButtonDerivedMixin:OnDragStart,,Blizzard_ActionBar\Mainline\ActionButtonOverrides.lua,502
512,ActionBarActionButtonDerivedMixin:OnReceiveDrag,,Blizzard_ActionBar\Mainline\ActionButtonOverrides.lua,518
513,ActionBarActionButtonDerivedMixin:OnDragStop,,Blizzard_ActionBar\Mainline\ActionButtonOverrides.lua,537
780,MicroMenuMixin:SetScaleAdjustment,scale,Blizzard_ActionBar\Mainline\MainMenuBarMicroButtons.lua,1851
908,SpellFlyoutButton_OnDrag,self,Blizzard_ActionBar\Mainline\SpellFlyout.lua,51
909,SpellFlyoutButton_UpdateGlyphState,"self, reason",Blizzard_ActionBar\Mainline\SpellFlyout.lua,109
910,SpellFlyout_HideIfWorldMapMaximized,self,Blizzard_ActionBar\Mainline\SpellFlyout.lua,399
911,SpellFlyout_SetBorderSize,"self, size",Blizzard_ActionBar\Mainline\SpellFlyout.lua,453
912,SpellFlyout_GetFlyoutButtonForSpell,"self, spellID",Blizzard_ActionBar\Mainline\SpellFlyout.lua,467
1026,AddonDialog_OnKeyDown,key,Blizzard_AddOnList\Mainline\AddonList.lua,110
1033,AddonList_OnLoad,self,Blizzard_AddOnList\Mainline\AddonList.lua,197
1036,AddonList_InitButton,"entry, addonIndex",Blizzard_AddOnList\Mainline\AddonList.lua,288
1048,AddonList_OnShow,self,Blizzard_AddOnList\Mainline\AddonList.lua,482
1049,AddonList_OnHide,self,Blizzard_AddOnList\Mainline\AddonList.lua,518
2600,BarberShopMixin:RotateCharacter,rotationAmount,Blizzard_BarbershopUI\Blizzard_BarberShopUI.lua,181
2601,BarberShopMixin:ResetCharacterRotation,,Blizzard_BarbershopUI\Blizzard_BarberShopUI.lua,185
3715,CharacterCreateMixin:ResetCharacterRotation,"mode, instantRotate",Blizzard_CharacterCreate\Blizzard_CharacterCreate.lua,760
3718,CharacterCreateMixin:RotateCharacter,rotationAmount,Blizzard_CharacterCreate\Blizzard_CharacterCreate.lua,772
3719,CharacterCreateMixin:RotateCharacterToTarget,"targetRotation, duration",Blizzard_CharacterCreate\Blizzard_CharacterCreate.lua,776
3720,CharacterCreateMixin:OnUpdateRotateCharacterToTarget,elapsed,Blizzard_CharacterCreate\Blizzard_CharacterCreate.lua,793
3836,CharCustomizeOptionFrameBaseMixin:SetupOption,optionData,Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,10
3837,CharCustomizeOptionFrameBaseMixin:SetOptionData,optionData,Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,14
3838,CharCustomizeOptionFrameBaseMixin:GetOptionData,,Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,18
3839,CharCustomizeOptionFrameBaseMixin:RefreshOption,,Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,22
3840,CharCustomizeOptionFrameBaseMixin:GetCurrentChoiceIndex,,Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,26
3841,CharCustomizeOptionFrameBaseMixin:HasChoice,,Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,30
3842,CharCustomizeOptionFrameBaseMixin:GetChoice,index,Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,34
3843,CharCustomizeOptionFrameBaseMixin:GetCurrentChoice,,Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,40
3844,CharCustomizeOptionFrameBaseMixin:HasSound,,Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,44
3845,CharCustomizeOptionFrameBaseMixin:GetSoundKit,entryOverride,Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,48
3846,CharCustomizeOptionFrameBaseMixin:SetupAudio,audioInterface,Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,61
3847,CharCustomizeOptionFrameBaseMixin:ShutdownAudio,,Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,72
3848,CharCustomizeOptionFrameBaseMixin:GetAudioInterface,,Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,81
3850,CharCustomizeFrameWithTooltipMixin:GetAppropriateTooltip,,Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,90
3851,CharCustomizeMaskedButtonMixin:GetAppropriateTooltip,,Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,95
3852,CharCustomizeParentFrameBaseMixin:SetCustomizationChoice,"optionID, choiceID",Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,101
3853,CharCustomizeParentFrameBaseMixin:PreviewCustomizationChoice,"optionID, choiceID",Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,104
3854,CharCustomizeParentFrameBaseMixin:ResetCustomizationPreview,clearSavedChoices,Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,107
3855,CharCustomizeParentFrameBaseMixin:MarkCustomizationChoiceAsSeen,choiceID,Blizzard_CharacterCustomize\Blizzard_CharacterCustomize.lua,110
